"Table: [Spielbezogene Abos (regelmäßige Ausgabe)] Wie viel hast du im vergangenen Jahr in etwa für Folgendes ausgegeben?"	"n"	"sum"
0.0	600	600
2.0	1	601
5.0	4	605
6.0	1	606
6.99	1	607
7.0	1	608
10.0	1	609
12.0	1	610
13.0	9	619
14.0	2	621
15.0	6	627
20.0	9	636
24.0	5	641
25.0	3	644
26.0	5	649
30.0	21	670
32.0	2	672
33.0	1	673
35.0	9	682
39.0	2	684
40.0	12	696
48.0	1	697
50.0	56	753
55.0	1	754
60.0	41	795
65.0	2	797
70.0	9	806
72.0	1	807
75.0	3	810
80.0	11	821
84.0	1	822
90.0	4	826
94.0	1	827
100.0	24	851
120.0	12	863
130.0	2	865
132.0	2	867
144.0	4	871
150.0	13	884
153.0	1	885
156.0	4	889
160.0	3	892
190.0	1	893
200.0	7	900
220.0	1	901
240.0	1	902
300.0	3	905
400.0	1	906
500.0	1	907
600.0	1	908
