"Wert"	"n"	"sum"
.00	2566	2566
1.00	2	2568
1.50	1	2569
2.00	6	2575
2.50	1	2576
3.00	3	2579
3.20	1	2580
4.00	3	2583
5.00	35	2618
6.00	4	2622
7.00	1	2623
8.00	5	2628
9.00	1	2629
10.00	56	2685
11.00	1	2686
12.00	5	2691
14.00	2	2693
15.00	16	2709
18.00	1	2710
20.00	47	2757
23.00	1	2758
24.00	3	2761
25.00	15	2776
26.00	1	2777
27.00	1	2778
29.00	1	2779
30.00	27	2806
32.00	2	2808
34.00	1	2809
35.00	1	2810
36.00	1	2811
40.00	12	2823
42.00	2	2825
44.00	1	2826
45.00	1	2827
46.00	1	2828
48.00	4	2832
50.00	34	2866
54.00	1	2867
56.00	1	2868
60.00	11	2879
70.00	5	2884
75.00	1	2885
80.00	2	2887
96.00	2	2889
100.00	24	2913
120.00	6	2919
130.00	1	2920
150.00	5	2925
160.00	2	2927
180.00	1	2928
200.00	9	2937
240.00	1	2938
250.00	3	2941
348.00	1	2942
360.00	2	2944
480.00	1	2945
600.00	5	2950
800.00	1	2951
1000.00	2	2953
