"Table: [Spielbezogene Abos (regelmäßige Ausgabe)] Wie viel hast du im vergangenen Jahr in etwa für Folgendes ausgegeben?"	"n"	"sum"
0.0	79	79
10.0	2	81
13.0	1	82
14.0	1	83
14.99	1	84
15.0	1	85
35.0	3	88
37.0	1	89
39.0	2	91
40.0	1	92
50.0	8	100
60.0	5	105
72.0	1	106
90.0	1	107
94.0	1	108
100.0	2	110
110.0	1	111
120.0	1	112
130.0	1	113
132.0	1	114
150.0	1	115
153.0	1	116
156.0	2	118
200.0	1	119
240.0	1	120
300.0	1	121
468.0	1	122
"."	57	179
