"Wert"	"n"	"sum"
.00	19	19
2.50	1	20
5.00	1	21
9.00	1	22
13.00	1	23
15.00	5	28
20.00	9	37
25.00	5	42
30.00	12	54
35.00	2	56
40.00	17	73
45.00	6	79
50.00	43	122
59.00	1	123
60.00	33	156
65.00	1	157
70.00	21	178
75.00	3	181
80.00	25	206
90.00	6	212
95.00	1	213
100.00	120	333
110.00	2	335
113.00	1	336
120.00	37	373
125.00	1	374
130.00	7	381
140.00	3	384
150.00	74	458
160.00	6	464
170.00	1	465
180.00	7	472
200.00	140	612
210.00	2	614
220.00	1	615
230.00	1	616
240.00	3	619
250.00	72	691
260.00	2	693
280.00	1	694
290.00	1	695
300.00	102	797
310.00	1	798
320.00	3	801
330.00	3	804
340.00	1	805
350.00	20	825
355.00	1	826
360.00	2	828
375.00	1	829
380.00	1	830
400.00	55	885
420.00	1	886
430.00	1	887
450.00	8	895
480.00	1	896
500.00	67	963
550.00	1	964
600.00	21	985
665.00	3	988
695.00	1	989
700.00	11	1000
720.00	1	1001
750.00	1	1002
780.00	1	1003
800.00	13	1016
1000.00	14	1030
1100.00	1	1031
1200.00	4	1035
1500.00	4	1039
1800.00	1	1040
2000.00	6	1046
3000.00	1	1047
4000.00	1	1048
18180.00	1	1049
