"Table: [Addons, DLC, Bezahlinhalte] Wie viel hast du im vergangenen Jahr in etwa fÃ¼r Folgendes ausgegeben?"	"n"	"sum"
0.0	822	822
0.5	2	824
0.85	1	825
0.99	1	826
1.0	3	829
1.8	1	830
1.99	1	831
2.0	8	839
3.0	6	845
3.8	1	846
4.0	2	848
5.0	67	915
6.0	2	917
7.0	9	926
7.5	1	927
7.99	1	928
8.0	7	935
9.0	2	937
10.0	210	1147
12.0	13	1160
12.5	1	1161
13.0	2	1163
14.0	1	1164
15.0	113	1277
15.49	1	1278
16.0	1	1279
17.0	3	1282
19.99	1	1283
20.0	341	1624
21.0	1	1625
22.0	1	1626
23.0	1	1627
24.0	1	1628
25.0	68	1696
29.0	2	1698
30.0	238	1936
34.0	2	1938
35.0	20	1958
36.0	2	1960
39.0	1	1961
39.99	1	1962
40.0	114	2076
45.0	14	2090
47.0	1	2091
49.0	1	2092
50.0	532	2624
55.0	2	2626
56.0	1	2627
60.0	93	2720
61.0	1	2721
65.0	2	2723
70.0	43	2766
75.0	14	2780
80.0	45	2825
85.0	1	2826
90.0	7	2833
100.0	302	3135
110.0	1	3136
120.0	25	3161
125.0	2	3163
130.0	5	3168
140.0	3	3171
150.0	80	3251
160.0	1	3252
170.0	1	3253
200.0	88	3341
210.0	1	3342
220.0	1	3343
240.0	1	3344
250.0	22	3366
260.0	1	3367
300.0	31	3398
350.0	1	3399
400.0	5	3404
500.0	10	3414
515.0	1	3415
600.0	5	3420
700.0	2	3422
800.0	1	3423
1000.0	5	3428
1500.0	3	3431
2000.0	1	3432
2500.0	1	3433
3000.0	1	3434
