"Table: [Spielbezogene Hardware] Wie viel hast du im vergangenen Jahr in etwa fÃ¼r Folgendes ausgegeben?"	"n"	"sum"
0.0	259	259
5.0	1	260
10.0	3	263
15.0	3	266
20.0	12	278
25.0	4	282
30.0	8	290
35.0	2	292
40.0	7	299
49.0	1	300
50.0	23	323
55.0	1	324
57.0	1	325
60.0	12	337
65.0	1	338
70.0	8	346
75.0	1	347
80.0	8	355
100.0	24	379
120.0	4	383
125.0	1	384
130.0	2	386
140.0	1	387
150.0	13	400
170.0	1	401
180.0	2	403
200.0	36	439
220.0	1	440
250.0	15	455
260.0	1	456
270.0	1	457
290.0	1	458
300.0	32	490
310.0	1	491
320.0	3	494
330.0	1	495
350.0	10	505
389.0	1	506
399.0	2	508
400.0	48	556
429.0	1	557
449.0	2	559
450.0	10	569
460.0	2	571
480.0	3	574
500.0	42	616
520.0	1	617
550.0	1	618
580.0	2	620
600.0	22	642
630.0	1	643
650.0	2	645
700.0	11	656
750.0	1	657
800.0	16	673
900.0	7	680
940.0	1	681
950.0	1	682
970.0	1	683
999.0	1	684
1000.0	31	715
1050.0	1	716
1100.0	6	722
1170.0	1	723
1200.0	10	733
1250.0	1	734
1300.0	5	739
1400.0	2	741
1500.0	9	750
1550.0	1	751
1700.0	3	754
1800.0	4	758
1850.0	1	759
1900.0	1	760
2000.0	8	768
2100.0	1	769
2500.0	2	771
3000.0	2	773
"."	257	1030
