"Wert"	"n"	"sum"
.00	482	482
3.50	1	483
4.00	2	485
5.00	2	487
5.99	1	488
8.00	1	489
10.00	5	494
12.00	4	498
12.99	1	499
13.00	11	510
14.00	1	511
15.00	8	519
17.00	1	520
18.00	1	521
20.00	10	531
22.99	1	532
24.00	1	533
25.00	6	539
25.98	1	540
26.00	3	543
27.00	2	545
30.00	20	565
35.00	4	569
36.00	2	571
37.00	2	573
39.00	5	578
40.00	17	595
45.00	4	599
48.00	1	600
48.96	1	601
49.00	2	603
49.99	2	605
50.00	57	662
52.00	1	663
56.00	1	664
59.00	1	665
60.00	22	687
65.00	1	688
70.00	6	694
72.00	1	695
80.00	4	699
90.00	2	701
91.00	1	702
100.00	13	715
120.00	8	723
125.00	1	724
130.00	2	726
131.88	1	727
144.00	2	729
150.00	6	735
155.00	1	736
156.00	4	740
170.00	1	741
180.00	2	743
200.00	6	749
300.00	1	750
500.00	2	752
600.00	1	753
1000.00	1	754
