"Wert"	"n"	"sum"
0.0	66	66
16.0	1	67
20.0	1	68
30.0	3	71
40.0	2	73
50.0	3	76
60.0	2	78
100.0	11	89
150.0	5	94
170.0	1	95
180.0	1	96
189.0	1	97
200.0	12	109
250.0	3	112
280.0	2	114
300.0	15	129
349.0	1	130
350.0	5	135
400.0	15	150
430.0	1	151
439.0	1	152
449.0	1	153
450.0	3	156
460.0	1	157
500.0	18	175
550.0	2	177
600.0	4	181
650.0	2	183
670.0	1	184
700.0	4	188
800.0	6	194
900.0	5	199
1000.0	16	215
1100.0	1	216
1200.0	5	221
1300.0	2	223
1350.0	1	224
1500.0	5	229
1800.0	1	230
2000.0	5	235
2200.0	1	236
