"Table: [Spielbezogene Hardware] Wie viel hast du im vergangenen Jahr in etwa fÃ¼r Folgendes ausgegeben?"	"n"	"sum"
0.0	1046	1046
3.0	1	1047
5.0	3	1050
8.0	1	1051
10.0	14	1065
12.0	1	1066
13.0	1	1067
15.0	3	1070
16.0	1	1071
20.0	34	1105
25.0	10	1115
30.0	36	1151
35.0	7	1158
38.0	1	1159
40.0	33	1192
42.0	1	1193
45.0	1	1194
49.0	1	1195
50.0	115	1310
55.0	3	1313
57.0	1	1314
60.0	36	1350
65.0	1	1351
70.0	18	1369
75.0	2	1371
80.0	31	1402
82.0	1	1403
90.0	3	1406
99.0	1	1407
100.0	130	1537
110.0	1	1538
120.0	19	1557
125.0	1	1558
129.0	1	1559
130.0	7	1566
135.0	1	1567
139.0	1	1568
140.0	5	1573
150.0	71	1644
160.0	8	1652
170.0	8	1660
180.0	10	1670
190.0	1	1671
199.0	1	1672
200.0	145	1817
210.0	1	1818
213.0	1	1819
215.0	1	1820
219.0	1	1821
220.0	3	1824
230.0	5	1829
240.0	3	1832
250.0	65	1897
260.0	3	1900
270.0	2	1902
279.0	1	1903
280.0	4	1907
290.0	1	1908
299.0	1	1909
300.0	150	2059
310.0	1	2060
312.0	1	2061
316.0	1	2062
320.0	10	2072
325.0	2	2074
329.0	1	2075
330.0	4	2079
334.0	1	2080
340.0	1	2081
349.0	1	2082
350.0	42	2124
360.0	2	2126
370.0	3	2129
380.0	4	2133
389.0	1	2134
399.0	15	2149
400.0	231	2380
405.0	1	2381
410.0	2	2383
420.0	1	2384
429.0	2	2386
430.0	2	2388
435.0	1	2389
439.0	1	2390
444.0	1	2391
449.0	3	2394
450.0	34	2428
460.0	6	2434
480.0	8	2442
499.0	2	2444
500.0	226	2670
520.0	1	2671
540.0	2	2673
550.0	13	2686
570.0	1	2687
580.0	1	2688
600.0	85	2773
610.0	1	2774
620.0	1	2775
630.0	1	2776
650.0	13	2789
670.0	1	2790
700.0	46	2836
750.0	8	2844
800.0	74	2918
813.99	1	2919
850.0	3	2922
899.0	1	2923
900.0	28	2951
913.0	1	2952
940.0	1	2953
950.0	3	2956
970.0	1	2957
999.0	1	2958
1000.0	138	3096
1018.0	1	3097
1050.0	2	3099
1080.0	1	3100
1100.0	12	3112
1150.0	2	3114
1170.0	1	3115
1200.0	55	3170
1220.0	1	3171
1250.0	3	3174
1300.0	21	3195
1350.0	2	3197
1400.0	16	3213
1495.9	1	3214
1500.0	56	3270
1550.0	1	3271
1600.0	8	3279
1700.0	13	3292
1800.0	12	3304
1850.0	1	3305
1900.0	3	3308
2000.0	41	3349
2100.0	1	3350
2200.0	6	3356
2300.0	5	3361
2400.0	1	3362
2500.0	9	3371
2600.0	1	3372
3000.0	14	3386
3200.0	2	3388
4000.0	1	3389
4350.0	1	3390
5000.0	1	3391
6000.0	1	3392
7890.0	1	3393
"."	1019	4412
