"Table: [Spielbezogene Hardware] Wie viel hast du im vergangenen Jahr in etwa fÃ¼r Folgendes ausgegeben?"	"n"	"sum"
0.0	1111	1111
3.0	1	1112
5.0	3	1115
8.0	1	1116
10.0	15	1131
12.0	1	1132
13.0	1	1133
15.0	3	1136
16.0	1	1137
20.0	34	1171
25.0	11	1182
30.0	36	1218
35.0	7	1225
38.0	1	1226
40.0	34	1260
42.0	1	1261
45.0	1	1262
49.0	1	1263
50.0	125	1388
55.0	3	1391
57.0	1	1392
60.0	40	1432
65.0	1	1433
70.0	18	1451
75.0	2	1453
80.0	34	1487
82.0	1	1488
90.0	3	1491
99.0	1	1492
100.0	136	1628
110.0	1	1629
120.0	22	1651
125.0	1	1652
129.0	1	1653
130.0	7	1660
135.0	1	1661
139.0	1	1662
140.0	5	1667
150.0	76	1743
160.0	8	1751
170.0	9	1760
180.0	10	1770
189.0	1	1771
190.0	1	1772
199.0	1	1773
200.0	148	1921
210.0	1	1922
213.0	1	1923
215.0	1	1924
219.0	1	1925
220.0	5	1930
230.0	5	1935
240.0	3	1938
250.0	67	2005
260.0	3	2008
270.0	2	2010
279.0	1	2011
280.0	4	2015
290.0	1	2016
299.0	1	2017
300.0	157	2174
310.0	1	2175
312.0	1	2176
316.0	1	2177
320.0	10	2187
325.0	2	2189
329.0	1	2190
330.0	4	2194
334.0	1	2195
340.0	1	2196
349.0	1	2197
350.0	45	2242
360.0	2	2244
370.0	3	2247
380.0	4	2251
389.0	1	2252
399.0	16	2268
400.0	241	2509
405.0	1	2510
410.0	2	2512
420.0	1	2513
429.0	2	2515
430.0	2	2517
435.0	1	2518
439.0	1	2519
444.0	1	2520
449.0	3	2523
450.0	37	2560
460.0	6	2566
480.0	8	2574
499.0	2	2576
500.0	243	2819
520.0	1	2820
540.0	2	2822
550.0	13	2835
570.0	1	2836
580.0	2	2838
600.0	89	2927
610.0	1	2928
620.0	2	2930
630.0	1	2931
650.0	13	2944
670.0	1	2945
700.0	48	2993
720.0	1	2994
750.0	8	3002
800.0	76	3078
813.99	1	3079
850.0	4	3083
899.0	1	3084
900.0	30	3114
913.0	1	3115
940.0	1	3116
950.0	3	3119
970.0	1	3120
999.0	1	3121
1000.0	142	3263
1018.0	1	3264
1050.0	3	3267
1080.0	1	3268
1100.0	12	3280
1150.0	2	3282
1170.0	1	3283
1200.0	56	3339
1220.0	1	3340
1250.0	4	3344
1300.0	22	3366
1350.0	2	3368
1400.0	17	3385
1495.9	1	3386
1500.0	57	3443
1550.0	1	3444
1600.0	9	3453
1700.0	13	3466
1800.0	12	3478
1850.0	1	3479
1900.0	3	3482
2000.0	42	3524
2100.0	1	3525
2200.0	6	3531
2300.0	5	3536
2400.0	1	3537
2500.0	10	3547
2600.0	1	3548
3000.0	14	3562
3200.0	2	3564
4000.0	1	3565
4350.0	1	3566
5000.0	1	3567
6000.0	1	3568
7890.0	1	3569
"."	1582	5151
