"Wert"	"n"	"sum"
.00	150	150
1.00	1	151
3.80	1	152
5.00	7	159
7.00	2	161
7.50	1	162
8.00	1	163
10.00	35	198
12.00	3	201
13.00	1	202
15.00	16	218
20.00	51	269
25.00	8	277
30.00	42	319
35.00	3	322
40.00	15	337
45.00	2	339
50.00	106	445
60.00	19	464
70.00	4	468
75.00	3	471
80.00	8	479
90.00	2	481
100.00	48	529
110.00	1	530
120.00	3	533
125.00	1	534
130.00	1	535
140.00	1	536
150.00	16	552
160.00	1	553
190.00	1	554
200.00	16	570
210.00	1	571
250.00	4	575
300.00	5	580
400.00	2	582
500.00	1	583
515.00	1	584
