"Table: [Spiele-Kauf (einmalige Ausgabe)] Wie viel hast du im vergangenen Jahr in etwa fÃ¼r Folgendes ausgegeben?"	"n"	"sum"
0.0	9	9
5.0	1	10
10.0	2	12
15.0	2	14
20.0	8	22
25.0	4	26
30.0	10	36
35.0	2	38
39.0	1	39
40.0	5	44
45.0	1	45
50.0	29	74
59.0	1	75
60.0	14	89
65.0	1	90
70.0	7	97
75.0	1	98
80.0	12	110
90.0	6	116
92.0	1	117
95.0	1	118
100.0	51	169
110.0	2	171
120.0	11	182
125.0	1	183
130.0	2	185
140.0	5	190
150.0	58	248
160.0	1	249
170.0	2	251
180.0	7	258
200.0	106	364
210.0	2	366
220.0	2	368
235.0	1	369
240.0	4	373
250.0	38	411
275.0	1	412
280.0	2	414
300.0	55	469
350.0	14	483
360.0	1	484
400.0	35	519
410.0	1	520
440.0	1	521
450.0	4	525
470.0	1	526
500.0	47	573
600.0	24	597
650.0	1	598
700.0	6	604
720.0	2	606
750.0	3	609
800.0	18	627
900.0	1	628
1000.0	14	642
1200.0	4	646
1500.0	4	650
1800.0	1	651
2500.0	1	652
