"Wert"	"n"	"sum"
.00	177	177
10.00	2	179
20.00	5	184
25.00	4	188
30.00	3	191
40.00	4	195
50.00	15	210
55.00	1	211
60.00	7	218
70.00	2	220
80.00	1	221
82.00	1	222
90.00	1	223
100.00	30	253
120.00	9	262
129.00	1	263
130.00	4	267
139.00	1	268
150.00	14	282
160.00	2	284
170.00	2	286
180.00	1	287
200.00	25	312
220.00	1	313
240.00	1	314
250.00	15	329
260.00	1	330
300.00	26	356
316.00	1	357
334.00	1	358
340.00	1	359
350.00	7	366
370.00	2	368
380.00	1	369
399.00	3	372
400.00	33	405
410.00	1	406
420.00	1	407
450.00	2	409
460.00	1	410
480.00	1	411
499.00	1	412
500.00	53	465
550.00	2	467
600.00	13	480
620.00	1	481
650.00	2	483
700.00	5	488
720.00	1	489
750.00	1	490
800.00	15	505
850.00	1	506
900.00	3	509
1000.00	22	531
1150.00	1	532
1200.00	13	545
1300.00	4	549
1400.00	3	552
1500.00	11	563
1600.00	5	568
1700.00	2	570
1800.00	2	572
2000.00	11	583
2200.00	1	584
2300.00	2	586
2500.00	1	587
3000.00	1	588
4000.00	1	589
5000.00	1	590
