"Wert"	"n"	"sum"
.00	1046	1046
3.00	1	1047
5.00	3	1050
8.00	1	1051
10.00	14	1065
12.00	1	1066
13.00	1	1067
15.00	3	1070
16.00	1	1071
20.00	34	1105
25.00	10	1115
30.00	36	1151
35.00	7	1158
38.00	1	1159
40.00	33	1192
42.00	1	1193
45.00	1	1194
49.00	1	1195
50.00	115	1310
55.00	3	1313
57.00	1	1314
60.00	36	1350
65.00	1	1351
70.00	18	1369
75.00	2	1371
80.00	31	1402
82.00	1	1403
90.00	3	1406
99.00	1	1407
100.00	130	1537
110.00	1	1538
120.00	19	1557
125.00	1	1558
129.00	1	1559
130.00	7	1566
135.00	1	1567
139.00	1	1568
140.00	5	1573
150.00	71	1644
160.00	8	1652
170.00	8	1660
180.00	10	1670
190.00	1	1671
199.00	1	1672
200.00	145	1817
210.00	1	1818
213.00	1	1819
215.00	1	1820
219.00	1	1821
220.00	3	1824
230.00	5	1829
240.00	3	1832
250.00	65	1897
260.00	3	1900
270.00	2	1902
279.00	1	1903
280.00	4	1907
290.00	1	1908
299.00	1	1909
300.00	150	2059
310.00	1	2060
312.00	1	2061
316.00	1	2062
320.00	10	2072
325.00	2	2074
329.00	1	2075
330.00	4	2079
334.00	1	2080
340.00	1	2081
349.00	1	2082
350.00	42	2124
360.00	2	2126
370.00	3	2129
380.00	4	2133
389.00	1	2134
399.00	15	2149
400.00	231	2380
405.00	1	2381
410.00	2	2383
420.00	1	2384
429.00	2	2386
430.00	2	2388
435.00	1	2389
439.00	1	2390
444.00	1	2391
449.00	3	2394
450.00	34	2428
460.00	6	2434
480.00	8	2442
499.00	2	2444
500.00	226	2670
520.00	1	2671
540.00	2	2673
550.00	13	2686
570.00	1	2687
580.00	1	2688
600.00	85	2773
610.00	1	2774
620.00	1	2775
630.00	1	2776
650.00	13	2789
670.00	1	2790
700.00	46	2836
750.00	8	2844
800.00	74	2918
813.99	1	2919
850.00	3	2922
899.00	1	2923
900.00	28	2951
913.00	1	2952
940.00	1	2953
950.00	3	2956
970.00	1	2957
999.00	1	2958
1000.00	138	3096
1018.00	1	3097
1050.00	2	3099
1080.00	1	3100
1100.00	12	3112
1150.00	2	3114
1170.00	1	3115
1200.00	55	3170
1220.00	1	3171
1250.00	3	3174
1300.00	21	3195
1350.00	2	3197
1400.00	16	3213
1495.90	1	3214
1500.00	56	3270
1550.00	1	3271
1600.00	8	3279
1700.00	13	3292
1800.00	12	3304
1850.00	1	3305
1900.00	3	3308
2000.00	41	3349
2100.00	1	3350
2200.00	6	3356
2300.00	5	3361
2400.00	1	3362
2500.00	9	3371
2600.00	1	3372
3000.00	14	3386
3200.00	2	3388
4000.00	1	3389
4350.00	1	3390
5000.00	1	3391
6000.00	1	3392
7890.00	1	3393
