"Table: [Spiele-Kauf (einmalige Ausgabe)] Wie viel hast du im vergangenen Jahr in etwa fÃ¼r Folgendes ausgegeben?"	"n"	"sum"
0.0	64	64
2.0	1	65
2.5	1	66
5.0	3	69
6.99	1	70
7.0	1	71
9.0	1	72
10.0	14	86
13.0	1	87
14.0	1	88
15.0	20	108
16.0	1	109
20.0	43	152
25.0	17	169
30.0	52	221
34.0	1	222
35.0	4	226
39.0	1	227
40.0	50	277
42.0	1	278
45.0	14	292
49.99	1	293
50.0	178	471
51.0	1	472
55.0	1	473
59.0	2	475
60.0	123	598
61.0	1	599
65.0	11	610
69.99	2	612
70.0	74	686
72.0	1	687
75.0	10	697
77.98	1	698
80.0	87	785
90.0	23	808
91.39	1	809
92.0	2	811
95.0	2	813
100.0	406	1219
110.0	7	1226
113.0	1	1227
120.0	116	1343
125.0	5	1348
130.0	26	1374
135.0	1	1375
136.0	2	1377
140.0	19	1396
145.16	1	1397
150.0	343	1740
160.0	13	1753
165.0	1	1754
170.0	4	1758
175.0	2	1760
180.0	38	1798
194.0	1	1799
200.0	545	2344
210.0	6	2350
220.0	7	2357
225.0	1	2358
230.0	4	2362
235.0	1	2363
240.0	10	2373
250.0	235	2608
260.0	4	2612
270.0	1	2613
275.0	2	2615
280.0	8	2623
285.0	1	2624
290.0	2	2626
300.0	375	3001
310.0	1	3002
320.0	6	3008
325.0	1	3009
330.0	3	3012
335.0	1	3013
340.0	2	3015
350.0	77	3092
355.0	1	3093
360.0	5	3098
375.0	1	3099
380.0	3	3102
385.0	1	3103
400.0	194	3297
410.0	2	3299
420.0	3	3302
425.0	1	3303
430.0	1	3304
440.0	1	3305
450.0	16	3321
470.0	1	3322
480.0	2	3324
500.0	257	3581
504.0	1	3582
530.0	1	3583
550.0	4	3587
560.0	3	3590
600.0	83	3673
650.0	6	3679
665.0	3	3682
695.0	1	3683
700.0	42	3725
720.0	3	3728
750.0	10	3738
780.0	1	3739
800.0	49	3788
820.0	1	3789
850.0	1	3790
900.0	4	3794
990.0	1	3795
1000.0	56	3851
1100.0	2	3853
1200.0	11	3864
1400.0	3	3867
1500.0	16	3883
1700.0	1	3884
1800.0	2	3886
1950.0	1	3887
2000.0	11	3898
2500.0	2	3900
3000.0	4	3904
3500.0	1	3905
4000.0	3	3908
6000.0	1	3909
18180.0	1	3910
10000000.0	1	3911
"."	1240	5151
