"Wert"	"n"	"sum"
-1.0	683	683
0.0	8	691
1.0	2	693
2.0	18	711
3.0	68	779
4.0	189	968
5.0	284	1252
6.0	556	1808
7.0	444	2252
8.0	467	2719
9.0	277	2996
10.0	386	3382
11.0	212	3594
12.0	246	3840
13.0	158	3998
14.0	145	4143
15.0	69	4212
16.0	51	4263
17.0	30	4293
18.0	15	4308
19.0	16	4324
20.0	11	4335
21.0	7	4342
22.0	10	4352
23.0	3	4355
24.0	11	4366
25.0	8	4374
26.0	7	4381
27.0	3	4384
28.0	1	4385
29.0	3	4388
31.0	2	4390
32.0	4	4394
33.0	2	4396
34.0	4	4400
36.0	2	4402
38.0	1	4403
40.0	3	4406
41.0	2	4408
46.0	3	4411
105.0	1	4412
