"Table: Release1"	"n"	"sum"
1996	1	1
1998	2	3
2000	1	4
2001	2	6
2002	2	8
2003	1	9
2005	6	15
2006	5	20
2007	2	22
2008	3	25
2009	9	34
2010	7	41
2011	20	61
2012	25	86
2013	27	113
2014	60	173
2015	3	176
2016	1	177
"."	2538	2715
