"Table: Release2"	"n"	"sum"
1971	1	1
1986	1	2
1987	8	10
1989	3	13
1990	2	15
1991	3	18
1992	12	30
1993	7	37
1994	8	45
1995	12	57
1996	19	76
1997	71	147
1998	116	263
1999	41	304
2000	107	411
2001	65	476
2002	87	563
2003	113	676
2004	135	811
2005	409	1220
2006	272	1492
2007	247	1739
2008	211	1950
2009	973	2923
2010	761	3684
2011	1335	5019
2012	1784	6803
2013	2955	9758
2014	4943	14701
2015	56	14757
2016	48	14805
3000	5	14810
