"Table: [Spiel 4] Welche Spiele hast du in den letzten 21 Tagen genutzt? (Gib bei Addons/Mods bitte das Hauptspiel an.)"	"n"	"sum"
"Assassin's Creed: Unity"	120	120
"Dragon Age: Inquisition"	108	228
"Battlefield 4"	107	335
"Far Cry 4"	105	440
"Counter-Strike: Global Offensive"	94	534
"League of Legends"	93	627
"Grand Theft Auto V"	92	719
"The Elder Scrolls V: Skyrim"	75	794
"World of Warcraft"	75	869
"FIFA 15"	64	933
"Call of Duty: Advanced Warfare"	45	978
"Minecraft"	42	1020
"Destiny"	41	1061
"Dota 2"	38	1099
"Super Smash Bros 4"	37	1136
"Diablo III"	36	1172
"The Crew"	36	1208
"Hearthstone: Heroes of Warcraft"	35	1243
"ArmA 2"	34	1277
"Dragon Age: Origins"	34	1311
"Pokémon: Alpha Saphir"	34	1345
"Mittelerde: Mordors Schatten"	34	1379
"Assassin's Creed IV: Black Flag"	33	1412
"Total War: Rome II"	32	1444
"Guild Wars 2"	31	1475
"ArmA 3"	30	1505
"The Binding of Isaac: Rebirth"	30	1535
"Battlefield 3"	29	1564
"Far Cry 3"	29	1593
"PayDay 2"	29	1622
"Sid Meier's Civilization V"	29	1651
"Halo - The Master Chief Collection"	28	1679
"Borderlands 2"	25	1704
"Borderlands: The Pre-Sequel"	24	1728
"The Evil Within"	24	1752
"Europa Universalis IV"	22	1774
"Counter-Strike"	21	1795
"Dark Souls"	21	1816
"Watch_Dogs"	21	1837
"Mario Kart 8"	20	1857
"Team Fortress 2"	20	1877
"War Thunder"	20	1897
"Game of Thrones"	19	1916
"Crusader Kings II"	18	1934
"Mount&Blade: Warband"	18	1952
"The Walking Dead"	18	1970
"StarCraft II: Wings of Liberty"	17	1987
"Company of Heroes 2"	16	2003
"Dark Souls II"	16	2019
"Warframe"	16	2035
"BioShock Infinite"	15	2050
"Insurgency: Modern Infantry Combat"	15	2065
"Kerbal Space Program"	15	2080
"The Binding of Isaac"	15	2095
"The Last of Us"	15	2110
"Alien: Isolation"	14	2124
"Saints Row IV"	14	2138
"Tomb Raider"	14	2152
"South Park: Der Stab der Wahrheit"	13	2165
"Left 4 Dead 2"	12	2177
"Planetside 2"	12	2189
"Sid Meier's Civilization: Beyond Earth"	12	2201
"The Witcher 2: Assassins of Kings"	12	2213
"World of Tanks"	12	2225
"Forza Horizon 2"	12	2237
"Garry's Mod"	11	2248
"Star Wars: The Old Republic"	11	2259
"The Wolf Among Us"	11	2270
"Total War: Shogun 2"	11	2281
"Valkyria Chronicles"	11	2292
"Fallout: New Vegas"	11	2303
"(???) Super Smash Bros."	10	2313
"Borderlands"	10	2323
"Gothic II"	10	2333
"Halo: Combat Evolved"	10	2343
"Hitman: Absolution"	10	2353
"Risen 3: Titan Lords"	10	2363
"Space Engieeners"	10	2373
"Sunset Overdrive"	10	2383
"Age of Empires II: The Age of Kings"	9	2392
"Clash of Clans"	9	2401
"DayZ Standalone"	9	2410
"Divinity: Original Sin"	9	2419
"Driveclub"	9	2428
"Lords of the Fallen"	9	2437
"This War of Mine"	9	2446
"Titanfall"	9	2455
"Injustice: Gods Among Us"	9	2464
"Terraria"	9	2473
"Assassin's Creed III"	8	2481
"Call of Duty"	8	2489
"Counter-Strike: Source"	8	2497
"Fallout 3"	8	2505
"Killing Floor"	8	2513
"Mass Effect 3"	8	2521
"Portal 2"	8	2529
"XCOM: Enemy Unknown"	8	2537
"Rising Storm"	8	2545
"Dishonored: Die Maske des Zorns"	7	2552
"Euro Truck Simulator 2"	7	2559
"Hyrule Warriors"	7	2566
"NBA 2k15"	7	2573
"Pro Evolution Soccer 2015"	7	2580
"Tales from the Borderlands"	7	2587
"(???) Assassin's Creed"	7	2594
"Banished"	7	2601
"Dragon Age II"	7	2608
"FIFA 14"	7	2615
"FTL: Faster Than Light"	7	2622
"Warcraft III: Reign of Chaos"	7	2629
"inFAMOUS Second Son"	7	2636
"(???) Battlefield"	6	2642
"A Bird Story"	6	2648
"Call of Duty 4: Modern Warfare"	6	2654
"Company of Heroes"	6	2660
"Gothic 3"	6	2666
"Grand Theft Auto"	6	2672
"Half-Life 2"	6	2678
"Heroes of the Storm"	6	2684
"Mass Effect"	6	2690
"Metal Gear Rising: Revengeance"	6	2696
"Metro 2033 Redux"	6	2702
"The Banner Saga"	6	2708
"The Witcher"	6	2714
"Wasteland 2"	6	2720
"Metro: Last Light"	6	2726
"Bioshock"	6	2732
"Chivalry: Medieval Warfare"	6	2738
"(???) Fifa"	5	2743
"7 Days to Die"	5	2748
"Dungeons & Dragons: Neverwinter"	5	2753
"Elite: Dangerous"	5	2758
"Endless Legend"	5	2763
"Halo 3"	5	2768
"Just Cause 2"	5	2773
"Kingdom hearts 2.5 HD Remix"	5	2778
"Mass Effect 2"	5	2783
"Rayman Legends"	5	2788
"Rocksmith 2014"	5	2793
"The Elder Scrolls III: Morrowind"	5	2798
"Tom Clancy's Splinter Cell: Blacklist"	5	2803
"(???) Pokémon"	5	2808
"Assassin's Creed Rogue"	5	2813
"Deponia"	5	2818
"Far Cry"	5	2823
"Kingdoms of Amalur: Reckoning"	5	2828
"LIMBO"	5	2833
"Neverwinter Nights 2"	5	2838
"Planetary Annihilation"	5	2843
"Risk of Rain"	5	2848
"Star Citizen"	5	2853
"Stronghold Crusader 2"	5	2858
"Anno 1404"	5	2863
"Dead Island"	5	2868
"Pflanzen gegen Zombies: Garden Warfare"	5	2873
"Prison Architect"	5	2878
"Final Fantasy XIII"	5	2883
"Assassin's Creed: Revelations"	4	2887
"Baldur's Gate 2: Schatten von Amn"	4	2891
"Batman: Arkham Origins"	4	2895
"Call of Duty: Black Ops II"	4	2899
"Call of Duty: Modern Warfare 3"	4	2903
"Dead State"	4	2907
"EVE Online"	4	2911
"Final Fantasy XIV: A Realm Reborn"	4	2915
"Gothic"	4	2919
"Life is Feudal"	4	2923
"Risen"	4	2927
"The Forest"	4	2931
"The Long Dark"	4	2935
"ArcheAge"	4	2939
"Bayonetta 2"	4	2943
"Dead Rising 3"	4	2947
"Far Cry 3: Blood Dragon"	4	2951
"Grand Theft Auto: San Andreas"	4	2955
"Hotline Miami"	4	2959
"Magicka"	4	2963
"Neverwinter Nights"	4	2967
"Papers, Please"	4	2971
"Pokémon X"	4	2975
"Red Dead Redemption"	4	2979
"Robocraft"	4	2983
"Sleeping Dogs"	4	2987
"Wolfenstein: The New Order"	4	2991
"Worms"	4	2995
"Age of Empires II HD"	4	2999
"BattleBlock Theater"	4	3003
"Half-Life"	4	3007
"Halo 4"	4	3011
"Shadow Warrior"	4	3015
"Rust"	4	3019
"Worms Armageddon"	4	3023
"(???) SimCity"	3	3026
"Assassin's Creed II"	3	3029
"Call of Duty: Modern Warfare 2"	3	3032
"Darksiders 2"	3	3035
"Day of Defeat: Source"	3	3038
"Dead Island: Epidemic"	3	3041
"Der Herr der Ringe Online"	3	3044
"Grand Theft Auto IV"	3	3047
"LittleBigPlanet 3"	3	3050
"Madden NFL 15"	3	3053
"Outlast (GOG)"	3	3056
"Rise of Nations"	3	3059
"Saints Row: The Third"	3	3062
"Sins of a Solar Empire"	3	3065
"Smite"	3	3068
"Spintires"	3	3071
"Star Trek Online"	3	3074
"The Elder Scrolls Online"	3	3077
"Valiant Hearts: The Great War"	3	3080
"Worms: Battlegrounds"	3	3083
"Batman: Arkham City"	3	3086
"Battlefield 2"	3	3089
"Cytus"	3	3092
"Deadly Premonition"	3	3095
"Demon's Souls"	3	3098
"Die Sims 3"	3	3101
"Landwirtschafts-Simulator 2015"	3	3104
"LittleBigPlanet"	3	3107
"Mirror's Edge"	3	3110
"Path of Exile"	3	3113
"Portal"	3	3116
"Runescape"	3	3119
"The Elder Scrolls IV: Oblivion"	3	3122
"Train Fever"	3	3125
"Tropico 4"	3	3128
"Wolfenstein"	3	3131
2048	3	3134
"Audiosurf: Ride Your Music"	3	3137
"Bayonetta"	3	3140
"Emergency 5"	3	3143
"Enslaved: Odyssey to the West"	3	3146
"Factorio"	3	3149
"Goat Simulator"	3	3152
"Ryse: Son of Rome"	3	3155
"Spec Ops: The Line"	3	3158
"To the Moon"	3	3161
"Torchlight II"	3	3164
"Anno 2070"	3	3167
"Bravely Default"	3	3170
"Candy Crush"	3	3173
"Die Sims 4"	3	3176
"Geometry Wars 3: Dimensions"	3	3179
"Plague Inc."	3	3182
"State of Decay"	3	3185
"Anno 1701"	2	3187
"Castlevania: Lords of Shadow"	2	3189
"DeadCore"	2	3191
"Deponia: The Complete Journey"	2	3193
"Deus Ex"	2	3195
"FIFA 13"	2	3197
"Forza Motorsport 5"	2	3199
"Icewind Dale: Enhanced Edition"	2	3201
"Ingress"	2	3203
"Left 4 Dead"	2	3205
"Mafia II"	2	3207
"Metro 2033"	2	3209
"Microsoft Flight Simulator X"	2	3211
"NBA 2K14"	2	3213
"Orcs Must Die! 2"	2	3215
"Quizduell"	2	3217
"Rage"	2	3219
"Rome: Total War"	2	3221
"Shadow Warrior (2013)"	2	3223
"Star Made"	2	3225
"Super Hexagon"	2	3227
"The Last of Us: Remastered"	2	3229
"The Legend of Zelda: The Wind Waker"	2	3231
"Ultra Street Fighter IV"	2	3233
"WWE 2k15"	2	3235
"XCOM: Enemy Within"	2	3237
"(???) X-Com"	2	3239
"Alice: Madness Returns"	2	3241
"Aura Kingdom"	2	3243
"Castlevania: Lords of Shadow 2"	2	3245
"Crysis"	2	3247
"Deus Ex: Human Revolution"	2	3249
"Diablo II"	2	3251
"Die Siedler 7"	2	3253
"Dirt 3"	2	3255
"Dreamfall Chapters: The Longest Journey"	2	3257
"Dungeon Defenders"	2	3259
"Endless Space"	2	3261
"Final Fantasy VII"	2	3263
"GRID 2"	2	3265
"Halo: Reach"	2	3267
"Icewind Dale"	2	3269
"Jazzpunk"	2	3271
"L.A. Noire"	2	3273
"Live for Speed"	2	3275
"Loadout"	2	3277
"Monster Hunter 3 Ultimate"	2	3279
"Need for Speed World"	2	3281
"Pokémon: Silberne Edition"	2	3283
"Shadowrun Returns"	2	3285
"Shin Megami Tensei: Persona 4"	2	3287
"Star Wars: Empire at War"	2	3289
"Stronghold Crusader"	2	3291
"Styx: Master of Shadows"	2	3293
"Super Mario 3D Land"	2	3295
"TheHunter"	2	3297
"Thief"	2	3299
"Virtue's Last Reward"	2	3301
"Warhammer 40,000: Dawn of War II"	2	3303
"World of Guns: Gun Disassembly"	2	3305
"Aion"	2	3307
"BioShock 2"	2	3309
"Broforce"	2	3311
"Crysis 3"	2	3313
"Dungeon of the Endless"	2	3315
"Far Cry 2"	2	3317
"Final Fantasy X HD Remaster"	2	3319
"Hitman: Contracts"	2	3321
"LEGO Batman 3: Beyond Gotham"	2	3323
"Lara Croft and the Guardian of Light"	2	3325
"Mark of the Ninja"	2	3327
"Monument Valley"	2	3329
"NHL 15"	2	3331
"Never Alone"	2	3333
"Pokémon: Feuerrote Edition"	2	3335
"R.U.S.E."	2	3337
"The Simpsons: Springfield"	2	3339
"Unreal Tournament 2004"	2	3341
"X3: Terran Conflict"	2	3343
"Awesomenauts"	2	3345
"Beat Hazard"	2	3347
"Don't Starve"	2	3349
"Five Nights at Freddy's"	2	3351
"Freelancer"	2	3353
"Game Dev Tycoon"	2	3355
"How to Survive"	2	3357
"Hyperdimension Neptunia"	2	3359
"I am Bread"	2	3361
"Mortal Kombat (2011)"	2	3363
"Plague Inc: Evolved"	2	3365
"Quake Live"	2	3367
"RollerCoaster Tycoon"	2	3369
"Star Wars: Commander"	2	3371
"(???) Civilization"	2	3373
"The Legend of Zelda: A Link between Worlds"	2	3375
"(???) -"	1	3376
"(???) Bayonetta 1+2"	1	3377
"(???) Just Dance"	1	3378
"(???) Star Wars"	1	3379
"(???) fifa 14/15"	1	3380
"Ace Combat: Infinity"	1	3381
"Alan Wake"	1	3382
"Angry Birds"	1	3383
"Circuits"	1	3384
"Danganronpa"	1	3385
"Das Schwarze Auge: Satinavs Ketten"	1	3386
"Dawn of War II"	1	3387
"Der Herr der Ringe: Der Krieg im Norden"	1	3388
"Der Herr der Ringe: Die Schlacht um Mitteler"	1	3389
"Desperados: Wanted Dead or Alive"	1	3390
"Dofus"	1	3391
"Doppelkopf"	1	3392
"Drakensang Online"	1	3393
"Duke Nukem 3D"	1	3394
"Final Fantasy III"	1	3395
"Final Fantasy VIII"	1	3396
"FlatOut 2"	1	3397
"Fussball Manager 12"	1	3398
"Grid Autosport"	1	3399
"Heavy Rain"	1	3400
"Hellgate: London"	1	3401
"Hitman"	1	3402
"Horizon 2"	1	3403
"Kenshi"	1	3404
"Last Chaos"	1	3405
"Lords of Xulima"	1	3406
"Magicite"	1	3407
"MechWarrior Online"	1	3408
"Medieval: Total War"	1	3409
"Metal Gear Solid"	1	3410
"Metal Gear Solid 3: Snake Eater"	1	3411
"MotoGP 14"	1	3412
"Pflanzen gegen Zombies"	1	3413
"Pokémon: Gelbe Edition - Special Pikachu Ed"	1	3414
"Prince of Persia: The Sands of Time"	1	3415
"Professor Layton vs. Phoenix Wright: Ace Att"	1	3416
"Pure Pool"	1	3417
"Resonance"	1	3418
"Risen 2: Dark Waters"	1	3419
"S.T.A.L.K.E.R.: Clear Sky"	1	3420
"Shadowrun: Dragonfall"	1	3421
"Star Wars: Knights of the Old Republic II -"	1	3422
"Temple Run 2"	1	3423
"The Last Of Us: Factions"	1	3424
"Total War: Shogun"	1	3425
"Train Simulator 2015"	1	3426
"Trove"	1	3427
"Wings of Vi"	1	3428
"guitar hero 6"	1	3429
"(???) F.E.A.R. 1, 2 & 3"	1	3430
"(???) Halo 1-4"	1	3431
"(???) Mario Kart"	1	3432
"(???) Mass Effect Trilogy"	1	3433
"(???) Smash Bros. Brawl for Wii U"	1	3434
"(???) The Endless"	1	3435
"Age of Empires"	1	3436
"Age of Mythology (Extended Edition)"	1	3437
"Animal Crossing: New Leaf"	1	3438
"Arcanum: Von Dampfmaschinen und Magie"	1	3439
"Assassins Creed Unity"	1	3440
"Assetto Corsa"	1	3441
"Bleach - Soul Resurreccion"	1	3442
"Blitz Brigade"	1	3443
"Call of Duty: Ghosts"	1	3444
"Cave Story+"	1	3445
"Champions Online"	1	3446
"Civilization Revolution"	1	3447
"Command & Conquer: Renegade"	1	3448
"Dear Esther"	1	3449
"Democracy 3"	1	3450
"Der Herr der Ringe: Die Schlacht um Mittelerde"	1	3451
"Dino D-Day"	1	3452
"Dragon Ball Z: Budokai Tenkaichi 2"	1	3453
"Dragon's Dogma"	1	3454
"Dungeon Hunter 4"	1	3455
"Dungeon Siege III"	1	3456
"Dust 514"	1	3457
"Dust: An Elysian Tail"	1	3458
"Empire: Total War"	1	3459
"Etrian Odyssey"	1	3460
"Europa Universalis"	1	3461
"Europa Universalis III"	1	3462
"FIFA 12"	1	3463
"FIFA World"	1	3464
"Fractured Space"	1	3465
"Frets on Fire"	1	3466
"GODUS"	1	3467
"Gothic II - Die Nacht des Raben"	1	3468
"Grand Theft Auto III"	1	3469
"Halo 2"	1	3470
"Hatsune Miku: Project Diva F 2nd"	1	3471
"Heroes of Might and Magic V"	1	3472
"Hitman: Blood Money"	1	3473
"Jetpack Joyride"	1	3474
"Kairo"	1	3475
"Killzone: Shadow Fall"	1	3476
"Kingdom Rush HD"	1	3477
"Mad Games Tycoon"	1	3478
"Melody's Escape"	1	3479
"Memoria"	1	3480
"Monkey Island 2: LeChuck's Revenge"	1	3481
"Need for Speed: Most Wanted (Origin)"	1	3482
"Next Car Game: Wreckfest"	1	3483
"No More Room In Hell"	1	3484
"Painkiller"	1	3485
"PayDay"	1	3486
"Pflanzen gegen Zombies 2"	1	3487
"Plague Inc. Evolved"	1	3488
"Ragnarok Online (20 Tage kostenlos)"	1	3489
"Resident Evil 6"	1	3490
"Rift"	1	3491
"Rogue Legacy"	1	3492
"Scrolls"	1	3493
"Smugglers 5"	1	3494
"Sniper Elite 3"	1	3495
"Sonic Generations"	1	3496
"Star Wars: Knights of the Old Republic"	1	3497
"The Blackwell Legacy"	1	3498
"The Vanishing of Ethan Carter"	1	3499
"Tomb Raider: Definitive Edition"	1	3500
"Torchlight"	1	3501
"TrackMania 2"	1	3502
"Unturned"	1	3503
"X: Rebirth"	1	3504
"Ys Origin"	1	3505
"Yu-Gi-Oh! Worldwide Edition: Stairway to the Destined Duel"	1	3506
"(???) Duolingo"	1	3507
"(???) Mario Party"	1	3508
"(???) Middle-earth"	1	3509
"(???) Professor Layton"	1	3510
"(???) SC:BL"	1	3511
"100% Orange Juice"	1	3512
"Age of Chivalry"	1	3513
"Age of Wonders III"	1	3514
"Alpha Protocol"	1	3515
"Anno 1602: Erschaffung einer neuen Welt"	1	3516
"AquaNox 2: Revelation"	1	3517
"Baldur's Gate"	1	3518
"Battlefield: Bad Company 2"	1	3519
"Blackwell Unbound"	1	3520
"Bloons Tower Defense 5"	1	3521
"Bubble Witch 2 Saga"	1	3522
"Bulletstorm"	1	3523
"Call of Duty: World at War"	1	3524
"Chaos auf Deponia"	1	3525
"Child of Light"	1	3526
"Children of Mana"	1	3527
"Command & Conquer: Tiberian Sun"	1	3528
"Danganronpa 2: Goodbye Despair"	1	3529
"Dark Messiah of Might and Magic"	1	3530
"Dawn of War"	1	3531
"Day of Defeat"	1	3532
"Dead Space 2"	1	3533
"Defense Grid: The Awakening"	1	3534
"Distant Worlds"	1	3535
"Dungeon Hunter 3"	1	3536
"Fable 2"	1	3537
"Faery - Legends of Avalon"	1	3538
"Farmville 2"	1	3539
"Fez"	1	3540
"Final Horizon"	1	3541
"Frozen Synapse"	1	3542
"Gauntlet"	1	3543
"Geometry Dash"	1	3544
"Grand Theft Auto: Vice City"	1	3545
"Halo: Combat Evolved Anniversary"	1	3546
"Halo: Spartan Assault"	1	3547
"Hard Reset (Extended Edition)"	1	3548
"Hearts of Iron II"	1	3549
"Heroes of Might and Magic III: The Restoration"	1	3550
"Herrscher des Olymp – Zeus"	1	3551
"Just Cause"	1	3552
"Kingdom Come: Deliverance"	1	3553
"LEGO Pirates of the Caribbean"	1	3554
"Madden NFL 25"	1	3555
"Magic 2015 - Duels of the Planeswalkers"	1	3556
"Maniac Mansion"	1	3557
"Mario Kart 7"	1	3558
"Medal of Honor: Warfighter"	1	3559
"Medieval II: Total War"	1	3560
"Metal Gear Solid: Peace Walker"	1	3561
"Might & Magic VI: The Mandate of Heaven"	1	3562
"Minesweeper"	1	3563
"Monstermind"	1	3564
"NBA 2K13"	1	3565
"Napoleon: Total War"	1	3566
"Naruto Shippuuden: Narutimate Storm Revolution"	1	3567
"Nuclear Throne"	1	3568
"Plants vs. Zombie"	1	3569
"Play Epic Battle Fantasy 4"	1	3570
"Pokémon: Platinum Version"	1	3571
"Professor Layton vs. Phoenix Wright: Ace Attor"	1	3572
"Prototype 2"	1	3573
"Quantum Conundrum"	1	3574
"Race Driver: GRID"	1	3575
"Randal's Monday"	1	3576
"Red Faction: Armageddon"	1	3577
"SWAT 3"	1	3578
"Sacred"	1	3579
"Sacred Citadel"	1	3580
"Saints Row 2"	1	3581
"Sanctum 2"	1	3582
"Serious Sam HD: The First Encounter"	1	3583
"Shakes & Fidget"	1	3584
"Shakes and Fidget"	1	3585
"Sid Meier's Railroad Tycoon"	1	3586
"Singstar"	1	3587
"Sniper Elite V2"	1	3588
"Solitär"	1	3589
"Spin Tires"	1	3590
"Starpoint Gemini 2"	1	3591
"Super Mario Galaxy"	1	3592
"TRI: Of Friendship and Madness"	1	3593
"The Cave"	1	3594
"The Darkness II"	1	3595
"The Legend of Zelda: Majora's Mask"	1	3596
"The Organ Trail"	1	3597
"Traffic Racer"	1	3598
"Tropico 3"	1	3599
"Völgarr the Viking"	1	3600
"Way of the Samurai 4"	1	3601
"Xenonauts"	1	3602
"YGOPro DevPro"	1	3603
"Z"	1	3604
"inFamous 2"	1	3605
"(???) Bioshock 1&2"	1	3606
"(???) EA UFC Undisputed"	1	3607
"(???) Postal"	1	3608
"(???) Siedler"	1	3609
"(???) South Park"	1	3610
"(???) Sudoku"	1	3611
"(???) empire"	1	3612
"Age of Conan"	1	3613
"Amnesia: A Machine for Pigs"	1	3614
"Antichamber"	1	3615
"Arcania: Gothic 4"	1	3616
"Assassin's Creed: Brotherhood"	1	3617
"Baldur's Gate: Enhanced Edition"	1	3618
"Braid"	1	3619
"Brink"	1	3620
"Burnout Paradise"	1	3621
"Call of Duty: Black Ops"	1	3622
"Candy Crush Saga"	1	3623
"Command & Conquer"	1	3624
"Command & Conquer: Alarmstufe Rot 3"	1	3625
"Command & Conquer: Generals"	1	3626
"Crash Bandicoot 2"	1	3627
"Crime City"	1	3628
"Crysis 2"	1	3629
"Darkest of Days"	1	3630
"Dead Space 3"	1	3631
"Der Herr der Ringe: Die Schlacht um Mit"	1	3632
"Devil's Attorney"	1	3633
"Die Siedler – Aufstieg eines Königre"	1	3634
"Dirt: Showdown"	1	3635
"Doom 3"	1	3636
"Duke Nukem Forever"	1	3637
"FORCED"	1	3638
"Family Guy: Mission Sachensuche"	1	3639
"Fantasy Life"	1	3640
"Final Fantasy"	1	3641
"Flappy Crush"	1	3642
"Floating Point"	1	3643
"Football Manager 2015"	1	3644
"Forza Horizon"	1	3645
"Forza Motorsport 4"	1	3646
"Gears of War 3"	1	3647
"Harveys Neue Augen"	1	3648
"Idle Oil Tycoon"	1	3649
"Infinity Wars"	1	3650
"Jazz Jackrabbit 2"	1	3651
"Kalah!"	1	3652
"Landwirtschafts-Simulator 2013"	1	3653
"Lichdom: Battlemage"	1	3654
"Lucius"	1	3655
"Magic: The Gathering"	1	3656
"Max Payne 3"	1	3657
"Monaco: What's Yours is Mine"	1	3658
"Naruto Shippuden: Ultimate Ninja Storm"	1	3659
"Naruto Shippuuden: Narutimate Storm Rev"	1	3660
"Nosgoth"	1	3661
"Ogame"	1	3662
"P.T."	1	3663
"Race The Sun"	1	3664
"Rayman Origins"	1	3665
"Reflex"	1	3666
"Resident Evil 5"	1	3667
"Rockband 3"	1	3668
"RollerCoaster Tycoon 3"	1	3669
"S.T.A.L.K.E.R.: Call of Pripyat"	1	3670
"SWAT 4"	1	3671
"Sid Meier's Pirates!"	1	3672
"Skullgirls"	1	3673
"Spirit Stones"	1	3674
"Star Wars: Battlefront II"	1	3675
"Star Wars: Jedi Knight 2: Jedi Outcast"	1	3676
"Starcraft"	1	3677
"Super Mario World"	1	3678
"Super Smash Bros. Brawl"	1	3679
"Super Smash Bros. Melee"	1	3680
"System Shock 2"	1	3681
"Tera Online"	1	3682
"The Last Remnant"	1	3683
"The Stanley Parable"	1	3684
"Toki Tori"	1	3685
"TrackMania"	1	3686
"Transistor"	1	3687
"Tropico 5"	1	3688
"Uncharted 2: Among Thieves"	1	3689
"Vampire the Masquerade: Bloodlines"	1	3690
"Velocity 2X"	1	3691
"Velvet Assassin"	1	3692
"Viscera Cleanup Detail"	1	3693
"WWE 2k14"	1	3694
"Wolfenstein: Enemy Territory"	1	3695
"Yoshi's Story"	1	3696
"Zombie Driver HD"	1	3697
"Zombies vs. Plants"	1	3698
"Zoo Tycoon"	1	3699
"(???) Anno"	1	3700
"(???) BlazBlue (alle Spielereihe)"	1	3701
"(???) Worms 3"	1	3702
"(???) ufc"	1	3703
"Batman: Arkham Knight"	1	3704
"Battlefield 1942"	1	3705
"Blobby Volley 2"	1	3706
"Brothers: A Tale of Two Sons"	1	3707
"Cities in Motion"	1	3708
"Contagion"	1	3709
"Crawl"	1	3710
"Creeper World 3 - Knuckle Cracker"	1	3711
"DCS: A-10C Warthog - Digital Combat Simulator"	1	3712
"Darkness Reborn"	1	3713
"Dead Island: Riptide"	1	3714
"Deadpool"	1	3715
"Defender's Quest: Valley of the Forgotten"	1	3716
"Defense Grid 2"	1	3717
"Die Gilde"	1	3718
"Die Stämme"	1	3719
"Disney Infinity: 2.0 Edition"	1	3720
"Driver: San Francisco"	1	3721
"EDGE Extended"	1	3722
"East India Company"	1	3723
"Enemy Front"	1	3724
"Evolve"	1	3725
"Galactic Civilizations III"	1	3726
"Hammerwatch"	1	3727
"Hashi"	1	3728
"Hill Climb Racing"	1	3729
"Journey"	1	3730
"Just Dance 2014"	1	3731
"Kingdom Hearts"	1	3732
"LEGO Star Wars"	1	3733
"Landwirtschafts-Simulator 2014"	1	3734
"Legend of Grimrock"	1	3735
"Machinarium"	1	3736
"Manhunt"	1	3737
"Mario Kart Wii"	1	3738
"Mars Effect"	1	3739
"Max & Mario - Die Rache des Dr. Düster"	1	3740
"ORION: Prelude"	1	3741
"Pokémon Trading Card Game Online"	1	3742
"Quake III Arena"	1	3743
"RESOGUN"	1	3744
"RETRY"	1	3745
"Red Faction: Guerrilla"	1	3746
"Resident Evil: Revelations"	1	3747
"Senran Kagura Shinovi Versus"	1	3748
"Shattered Horizon"	1	3749
"Sherlock Holmes and the Hound of Baskervilles"	1	3750
"Skull Girls"	1	3751
"Small World"	1	3752
"Sniper Elite: Zombie Army"	1	3753
"Sonic & All-Stars Racing Transformed"	1	3754
"Speedrunners"	1	3755
"Spider Solitaire"	1	3756
"Starbound"	1	3757
"Super Meat Boy"	1	3758
"Supreme Commander 2"	1	3759
"Survarium"	1	3760
"Söldner – Secret Wars"	1	3761
"Tales of Xillia"	1	3762
"The Secret World"	1	3763
"Tomodachi Life"	1	3764
"TrackMania United"	1	3765
"Trine"	1	3766
"Tron 2.0"	1	3767
"Universe Sandbox"	1	3768
"Vindictus"	1	3769
"WAKFU"	1	3770
"Warhammer 40,000: Armageddon"	1	3771
"World Cruise Story"	1	3772
"World Soccer Winning Eleven 9"	1	3773
"Worms: Revolution"	1	3774
"Worms: Ultimate Mayhem"	1	3775
"rFactor"	1	3776
