"Table: [Spiel 4] Welche Spiele hast du in den letzten 21 Tagen genutzt? (Gib bei Addons/Mods bitte das Hauptspiel an.)"	"n"	"sum"
"Dragon Age: Inquisition"	8	8
"The Elder Scrolls V: Skyrim"	6	14
"Battlefield 4"	5	19
"Diablo III"	5	24
"Mittelerde: Mordors Schatten"	5	29
"World of Tanks"	5	34
"World of Warcraft"	5	39
"Alien: Isolation"	4	43
"Guild Wars 2"	4	47
"Assassin's Creed: Unity"	3	50
"Destiny"	3	53
"FIFA 15"	3	56
"Far Cry 4"	3	59
"Grand Theft Auto V"	3	62
"Counter-Strike: Global Offensive"	3	65
"The Crew"	3	68
"The Elder Scrolls Online"	3	71
"Blood 2"	2	73
"Das Schwarze Auge: Demonicon"	2	75
"Halo - The Master Chief Collection"	2	77
"Hearthstone: Heroes of Warcraft"	2	79
"Planetside 2"	2	81
"Sid Meier's Civilization V"	2	83
"War Thunder"	2	85
"Wolfenstein"	2	87
"BloodRayne"	2	89
"Dead Rising 3"	2	91
"Divinity: Original Sin"	2	93
"Endless Space"	2	95
"Forza Horizon 2"	2	97
"Star Citizen"	2	99
"Wolfenstein: The New Order"	2	101
"Call of Duty"	2	103
"Euro Truck Simulator 2"	2	105
"The Darkness II"	2	107
"The Witcher 2: Assassins of Kings"	2	109
"Clash of Clans"	2	111
"Watch_Dogs"	2	113
"Return to Castle Wolfenstein"	2	115
"Age of Empires III"	1	116
"Alice: Madness Returns"	1	117
"ArcheAge"	1	118
"ArmA 3"	1	119
"Assassin's Creed Rogue"	1	120
"Battlefield: Bad Company 2"	1	121
"Command & Conquer: Tiberium Alliances"	1	122
"Crysis"	1	123
"Der Herr der Ringe Online"	1	124
"Fussball Manager 12"	1	125
"Half-Life 2"	1	126
"Just Cause 2"	1	127
"King's Bounty: Warriors of the North"	1	128
"Mass Effect"	1	129
"Portal 2"	1	130
"Race Driver: GRID"	1	131
"Risen 3: Titan Lords"	1	132
"The Book of Unwritten Tales"	1	133
"This War of Mine"	1	134
"Torchlight II"	1	135
"Total War: Shogun"	1	136
"Warframe"	1	137
"Age of Empires II: The Age of Kings"	1	138
"Army of Darkness: Defense"	1	139
"Assassin's Creed IV: Black Flag"	1	140
"Battlefield Heroes"	1	141
"Bejeweled"	1	142
"Borderlands"	1	143
"Borderlands 2"	1	144
"Candy Crush Saga"	1	145
"Crysis 2"	1	146
"Dark Souls II"	1	147
"Defense Grid 2"	1	148
"Democracy 3"	1	149
"Dishonored: Die Maske des Zorns"	1	150
"Dungeon Siege II"	1	151
"EVE Online"	1	152
"Enslaved: Odyssey to the West"	1	153
"Europa Universalis IV"	1	154
"Fallout 3"	1	155
"Grand Theft Auto IV"	1	156
"Legend of Grimrock 2"	1	157
"Mass Effect 2"	1	158
"Metro: Last Light"	1	159
"Papers, Please"	1	160
"Prison Architect"	1	161
"The Walking Dead"	1	162
"(???) Wing Commander"	1	163
"Anno 1701"	1	164
"Assassin's Creed III"	1	165
"Borderlands: The Pre-Sequel"	1	166
"Craft The World"	1	167
"Die Stämme"	1	168
"Dreamfall Chapters: The Longest Journey"	1	169
"English Country Tune"	1	170
"Far Cry"	1	171
"Far Cry 3"	1	172
"Gear Up"	1	173
"Halo: Combat Evolved"	1	174
"League of Legends"	1	175
"NBA 2k15"	1	176
"Path of Exile"	1	177
"Peggle"	1	178
"Port Royale 3"	1	179
"Sid Meier's Civilization IV"	1	180
"Strategic Command Global Conflict"	1	181
"Sunset Overdrive"	1	182
"Tales from the Borderlands"	1	183
"The Elder Scrolls III: Morrowind"	1	184
"Thief 4"	1	185
"Candy Crush Soda Saga"	1	186
"Ceasar IV"	1	187
"Dragon Age: Origins"	1	188
"Elite: Dangerous"	1	189
"Fantasia: Mickey Mouse Magic"	1	190
"Freelancer"	1	191
"Gauntlet"	1	192
"Grand Theft Auto"	1	193
"Lords of the Fallen"	1	194
"Minecraft"	1	195
"Octodad"	1	196
"Patrizier IV"	1	197
"Sid Meier's Civilization II"	1	198
"Sid Meier's Civilization: Beyond Earth"	1	199
"Silent Hunter 5: Battle of the Atlantic"	1	200
"Space Engieeners"	1	201
"Star Trek Online"	1	202
"Strategic Command World War 1"	1	203
"Tera Online"	1	204
"Uncharted 2: Among Thieves"	1	205
"WRC: Powerslide"	1	206
"Worms: Battlegrounds"	1	207
"Die Siedler Online"	1	208
"Grid Autosport"	1	209
"Heroes of Might and Magic 6"	1	210
"Master of Orion II: Battle at Antares"	1	211
"Pro Cycling Manager 2013"	1	212
"Rayman Legends"	1	213
"Solitär"	1	214
"The Battle for Wesnoth"	1	215
"Wasteland 2"	1	216
