"Wert"	"n"	"sum"
"Minecraft"	19	19
"Grand Theft Auto V"	14	33
"Counter-Strike: Global Offensive"	12	45
"Assassin's Creed: Unity"	11	56
"FIFA 15"	10	66
"Assassin's Creed IV: Black Flag"	5	71
"Battlefield 3"	5	76
"Destiny"	5	81
"Far Cry 4"	5	86
"Call of Duty: Advanced Warfare"	4	90
"The Crew"	4	94
"The Elder Scrolls V: Skyrim"	4	98
"FIFA 14"	4	102
"Borderlands 2"	3	105
"Call of Duty: Ghosts"	3	108
"Garry's Mod"	3	111
"Super Smash Bros 4"	3	114
"ArmA 3"	2	116
"League of Legends"	2	118
"Total War: Rome II"	2	120
"War Thunder"	2	122
"World of Warcraft"	2	124
"(???) Assassin's Creed"	2	126
"Assassin's Creed III"	2	128
"Battlefield 4"	2	130
"Clash of Clans"	2	132
"Far Cry 3"	2	134
"Pflanzen gegen Zombies: Garden Warfare"	2	136
"Watch_Dogs"	2	138
"Killzone: Shadow Fall"	2	140
"South Park: Der Stab der Wahrheit"	2	142
"The Binding of Isaac: Rebirth"	2	144
"Need For Speed"	2	146
"ArmA 2"	2	148
"Space Engieeners"	2	150
"Blacklight Retribution"	1	151
"Call of Duty: Modern Warfare 3"	1	152
"Counter-Strike"	1	153
"Driveclub"	1	154
"Europa Universalis"	1	155
"Far Cry 3: Blood Dragon"	1	156
"LittleBigPlanet 3"	1	157
"Mass Effect"	1	158
"PayDay 2"	1	159
"Sakura Spirit"	1	160
"Singularity"	1	161
"Spintires"	1	162
"World of Tanks"	1	163
"(???) Fifa"	1	164
"Call of Duty: Black Ops II"	1	165
"Das Schwarze Auge: Drakensang"	1	166
"Dota 2"	1	167
"Dragon's Dogma"	1	168
"Empire Earth"	1	169
"Europa Universalis IV"	1	170
"Fallout"	1	171
"Fallout 3"	1	172
"Forza Horizon"	1	173
"Gender Bender DNA Twister Extreme"	1	174
"Hyrule Warriors"	1	175
"Just Cause 2"	1	176
"Killing Floor"	1	177
"Risen 3: Titan Lords"	1	178
"S4 League"	1	179
"Sid Meier's Civilization V"	1	180
"The Elder Scrolls Online"	1	181
"The Forest"	1	182
"Tom Clancy's Ghost Recon: Phantoms"	1	183
"Assassin's Creed: Revelations"	1	184
"Call of Duty"	1	185
"Call of Duty: Black Ops"	1	186
"Call of Duty: Modern Warfare 2"	1	187
"Die Sims 4"	1	188
"Forza Horizon 2"	1	189
"Game of Thrones"	1	190
"Goat Simulator"	1	191
"Half-Life"	1	192
"Half-Life 2"	1	193
"Mario Kart 8"	1	194
"Mittelerde: Mordors Schatten"	1	195
"Monster Hunter Freedom Unite"	1	196
"Need for Speed: Most Wanted (Origin)"	1	197
"Path of Exile"	1	198
"Robocraft"	1	199
"Smite"	1	200
"Star Trek Online"	1	201
"Team Fortress 2"	1	202
"Terraria"	1	203
"The Legend of Zelda: Ocarina of Time"	1	204
"This War of Mine"	1	205
"Warface"	1	206
"Blobby Volley"	1	207
"DC Universe Online"	1	208
"Dungeons & Dragons: Neverwinter"	1	209
"Far Cry 2"	1	210
"Gothic II"	1	211
"Grand Theft Auto"	1	212
"Grid Autosport"	1	213
"Halo: Combat Evolved"	1	214
"I am Bread"	1	215
"Insane 2"	1	216
"Piano Tiles (Don't Tap The White Tile)"	1	217
"Planetary Annihilation"	1	218
"Pok??mon Mystery Dungeon: Erkundungstea"	1	219
"Rayman"	1	220
"Red Dead Redemption"	1	221
"Sunset Overdrive"	1	222
"The Last of Us"	1	223
"The Walking Dead"	1	224
"The Witcher"	1	225
"Worms: Battlegrounds"	1	226
2048	1	227
"Assassin's Creed: Brotherhood"	1	228
"Bulletstorm"	1	229
"Company of Heroes"	1	230
"Forza Motorsport 5"	1	231
"Gothic 3"	1	232
"Grand Theft Auto IV"	1	233
"Hearts of Iron III"	1	234
"Just Dance 2015"	1	235
"McPixel"	1	236
"Portal 2"	1	237
"RollerCoaster Tycoon"	1	238
"SimCity 4"	1	239
"Time Ramesside"	1	240
