"[Spielbezogene Hardware] Wie viel hast du im vergangenen Jahr in etwa fÃ¼r Folgendes ausgegeben?"	"nA"	"<60"	"<55"	"<50"	"<45"	"<40"	"<35"	"<30"	"<25"	"<20"	"<15"
0	26	1	5	9	16	31	66	113	108	75	2
5	0	0	0	0	0	0	0	0	0	1	0
8	0	0	0	0	0	0	0	0	1	0	0
10	1	0	0	0	0	0	0	2	0	0	0
11	0	0	0	0	0	0	1	0	0	0	0
12	0	0	0	0	0	0	0	1	0	0	0
14	0	0	0	0	0	0	0	0	0	1	0
15	0	0	0	0	0	0	0	0	1	1	0
20	2	0	0	0	0	1	1	5	2	4	0
25	0	0	0	0	0	0	2	0	1	0	0
30	0	0	0	0	1	1	1	5	2	5	0
34	0	0	0	0	0	0	0	0	1	0	0
35	0	0	0	1	0	0	0	1	0	0	0
40	1	0	0	1	1	2	1	1	2	1	0
45	0	0	0	0	0	0	0	1	0	0	0
46	0	0	0	0	0	0	0	1	0	0	0
49	0	0	0	0	0	0	1	0	0	0	0
50	1	0	1	1	4	6	9	8	10	4	0
60	1	0	0	0	1	0	4	3	2	3	1
65	0	0	0	0	0	1	0	0	0	1	0
70	1	0	0	0	0	0	1	2	2	4	0
80	0	0	0	0	1	0	3	3	3	1	0
85	0	0	0	0	0	1	0	0	0	0	0
90	0	0	0	0	0	0	0	0	1	0	0
100	5	0	0	2	3	2	14	13	14	9	0
110	0	0	0	0	0	0	3	0	0	0	0
120	1	0	0	1	1	0	2	1	2	1	0
125	0	0	0	0	0	0	0	1	0	1	0
130	0	0	0	0	0	0	0	3	0	1	0
133	0	0	0	0	0	0	0	0	1	0	0
140	0	0	0	0	0	0	2	0	1	0	0
150	3	1	0	0	1	3	4	10	2	4	0
160	0	0	0	0	0	0	2	0	0	0	0
180	0	0	0	0	0	0	0	4	1	0	0
200	7	0	2	0	2	3	9	10	9	6	0
210	0	0	0	0	0	0	0	0	0	1	0
220	0	0	1	0	0	0	0	2	1	0	0
225	0	0	0	0	0	0	0	2	0	0	0
233	0	0	0	0	0	0	1	0	0	0	0
240	0	0	0	0	0	1	0	1	0	0	0
250	1	0	0	1	1	5	7	6	2	1	0
260	0	0	0	0	0	0	0	1	0	0	0
270	0	0	0	0	0	0	1	0	1	0	0
280	0	0	0	0	0	2	0	1	1	0	0
290	0	0	0	0	0	0	0	0	0	1	0
300	3	0	2	2	2	7	5	15	13	4	1
320	0	0	0	0	0	1	2	0	0	2	0
330	0	0	0	0	0	0	0	1	1	0	0
340	0	0	0	0	0	0	0	0	2	1	0
350	1	0	0	1	2	0	5	3	5	7	1
360	0	0	0	0	0	0	0	0	1	0	0
370	0	0	1	0	0	0	0	0	0	0	0
375	0	0	0	0	0	0	0	0	0	1	0
380	0	0	0	0	0	0	0	0	0	1	0
390	0	0	0	0	0	0	0	1	0	0	0
399	0	0	0	0	1	1	0	0	1	0	0
400	1	0	0	2	5	3	12	10	12	5	0
430	0	0	0	0	0	0	1	0	0	0	0
440	0	0	0	0	0	1	0	0	0	0	0
450	1	0	0	0	0	1	2	1	1	4	0
484	0	0	0	0	0	0	0	1	0	0	0
499	1	0	0	0	0	0	0	0	0	0	0
500	2	0	1	4	6	10	14	21	13	7	0
511	0	0	0	0	0	0	0	1	0	0	0
550	0	0	0	0	0	0	0	0	1	1	0
579	0	0	0	0	0	1	0	0	0	0	0
600	2	0	0	0	3	2	2	9	8	2	0
630	0	0	0	0	0	0	1	0	0	0	0
635	1	0	0	0	0	0	0	0	0	0	0
650	0	0	0	0	0	1	0	1	1	0	0
660	0	0	0	0	0	0	0	0	0	1	0
700	1	0	1	0	0	2	3	2	6	0	0
720	0	0	0	0	0	0	1	0	0	0	0
750	1	0	0	1	0	0	0	2	0	0	0
799	0	0	0	0	0	0	0	1	0	0	0
800	1	0	0	3	1	0	6	7	5	2	0
820	0	0	0	0	1	0	0	0	0	0	0
850	0	0	0	0	0	1	0	0	0	0	0
870	0	0	0	0	0	0	0	0	0	1	0
900	0	0	0	0	0	0	2	2	1	1	0
920	0	0	0	0	0	0	0	0	1	0	0
950	0	0	0	0	0	0	0	1	0	1	0
1000	3	0	2	1	5	5	11	9	8	6	0
1050	0	0	0	0	0	0	0	0	1	0	0
1100	0	0	0	0	0	0	1	2	0	2	0
1200	0	0	0	0	2	1	4	3	4	1	0
1250	0	0	0	0	0	0	1	0	0	0	0
1290	0	0	0	0	0	0	0	0	0	1	0
1300	1	0	0	0	0	1	2	2	4	0	0
1340	1	0	0	0	0	0	0	0	0	0	0
1349	0	0	0	0	0	0	0	0	1	0	0
1400	0	0	0	0	1	0	2	1	0	1	0
1500	1	0	0	0	1	2	9	5	5	1	0
1593	0	0	0	0	0	0	0	0	1	0	0
1600	0	0	0	0	0	2	0	0	2	0	0
1650	0	0	0	0	0	0	0	1	0	0	0
1700	0	0	0	1	2	0	0	1	0	1	0
1800	1	0	0	0	0	2	0	1	2	0	0
2000	1	0	0	0	2	2	8	5	2	3	0
2100	0	0	0	0	0	0	0	1	0	0	0
2200	0	0	1	0	0	0	0	1	0	0	0
2500	0	0	0	0	1	2	2	0	0	0	0
3000	0	0	0	0	1	0	0	1	5	2	0
3600	0	0	0	0	0	0	0	0	1	0	0
3800	0	0	0	0	0	0	0	0	1	0	0
4000	0	0	0	0	0	1	1	1	0	0	0
4500	0	0	0	0	0	0	0	0	0	1	0
4900	0	0	0	0	0	0	0	1	0	0	0
5000	0	0	0	0	0	1	0	0	0	0	0
.	196	1	6	8	9	34	48	71	76	44	2
